total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,reproduction_rate
6937.0,41.0,161.0,9.0,1269.204,7.501,29.457,1.647,3131.0,42059.0,7.695,0.573,0.0366,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.7
7036.0,99.0,164.0,3.0,1287.318,18.113,30.006,0.549,1176.0,43235.0,7.91,0.215,0.0374,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.72
7078.0,42.0,165.0,1.0,1295.002,7.684,30.189,0.183,1144.0,44379.0,8.12,0.209,0.0332,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.63,14.462,0.72
7156.0,78.0,181.0,16.0,1309.273,14.271,33.116,2.927,3775.0,48154.0,8.81,0.691,0.0289,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.07,14.462,0.71
7191.0,35.0,182.0,1.0,1315.677,6.404,33.299,0.183,3585.0,51739.0,9.466,0.656,0.0293,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,14.462,0.71
7338.0,147.0,187.0,5.0,1342.572,26.895,34.214,0.915,3347.0,55086.0,10.079,0.612,0.031,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,14.462,0.73
7401.0,63.0,194.0,7.0,1354.098,11.527,35.495,1.281,2971.0,58057.0,10.622,0.544,0.0264,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,14.462,0.71
7463.0,62.0,199.0,5.0,1365.442,11.344,36.409,0.915,3285.0,61342.0,11.223,0.601,0.0273,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,14.462,0.7
7499.0,36.0,201.0,2.0,1372.029,6.587,36.775,0.366,1134.0,62476.0,11.431,0.207,0.0241,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,14.462,0.7
7527.0,28.0,201.0,0.0,1377.152,5.123,36.775,0.0,976.0,63452.0,11.609,0.179,0.0235,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,14.462,0.7
7599.0,72.0,205.0,4.0,1390.325,13.173,37.507,0.732,4104.0,67556.0,12.36,0.751,0.0228,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.7
7660.0,61.0,206.0,1.0,1401.486,11.161,37.69,0.183,4115.0,71671.0,13.113,0.753,0.0235,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.69
7710.0,50.0,207.0,1.0,1410.634,9.148,37.873,0.183,3957.0,75628.0,13.837,0.724,0.0181,55.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.67
7738.0,28.0,210.0,3.0,1415.757,5.123,38.422,0.549,4439.0,80067.0,14.649,0.812,0.0153,65.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.67
7783.0,45.0,210.0,0.0,1423.99,8.233,38.422,0.0,1510.0,81577.0,14.925,0.276,0.0158,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.68
7809.0,26.0,211.0,1.0,1428.747,4.757,38.605,0.183,1554.0,83131.0,15.21,0.284,0.015,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.7
7847.0,38.0,211.0,0.0,1435.699,6.953,38.605,0.0,1264.0,84395.0,15.441,0.231,0.0153,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.72
7904.0,57.0,214.0,3.0,1446.128,10.429,39.154,0.549,4732.0,89127.0,16.307,0.866,0.0141,70.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.72
